,phrase,label,sentiment,subjectivity,language,count
Iberische Halbinsel,Iberische Halbinsel,LOC,-0.030000000000000006,0.0,de,5
Niedersachsens,Niedersachsens,LOC,-0.20999999999999996,0.3,de,5
Rheinisch-Bergischen Kreis,Rheinisch-Bergischen Kreis,LOC,-0.27999999999999997,0.0,de,5
Bursa,Bursa,LOC,-0.2,0.0,de,5
US-Westküste,US-Westküste,LOC,0.0,0.0,de,5
Waldbrandsaison,Waldbrandsaison,LOC,-0.13999999999999999,0.0,de,5
Ukraine,Ukraine,LOC,0.27999999999999997,0.0,de,5
Hirschbach,Hirschbach,LOC,0.0,0.0,de,5
Kythira,Kythira,LOC,-0.13999999999999999,0.0,de,5
Los Padres National Forest,Los Padres National Forest,LOC,0.0,0.0,de,5
Südbrandenburg,Südbrandenburg,LOC,-0.13999999999999999,0.0,de,5
Wuppertal,Wuppertal,LOC,-0.41999999999999993,0.0,de,5
Prad,Prad,LOC,0.21999999999999997,0.0,de,5
Oberpfalz,Oberpfalz,LOC,0.27999999999999997,0.0,de,5
Landratsamts Meißen,Landratsamts Meißen,LOC,0.0,0.0,de,5
Gebiet,Gebiet,LOC,0.0,0.0,de,5
A…,A…,LOC,0.13999999999999999,0.0,de,5
Hitze,Hitze,LOC,-0.13999999999999999,0.2,de,5
Katalonien,Katalonien,LOC,0.0,0.0,de,5
Landkreis Potsdam-Mittelmark,Landkreis Potsdam-Mittelmark,LOC,-0.13999999999999999,0.0,de,5
Südthüringen,Südthüringen,LOC,0.13999999999999999,0.2,de,5
Bezirken,Bezirken,LOC,-0.13999999999999999,0.0,de,5
Drebkau,Drebkau,LOC,-0.13999999999999999,0.0,de,5
Nürnberg,Nürnberg,LOC,0.54,0.0,de,5
Jakobsweg,Jakobsweg,LOC,-0.38,0.1,de,5
England,England,LOC,-0.33999999999999997,0.0,de,5
Teupitz,Teupitz,LOC,0.22999999999999998,0.0,de,5
kroatischen Adria-Küste,kroatischen Adria-Küste,LOC,0.41999999999999993,0.4,de,5
Löcknitz,Löcknitz,LOC,0.13999999999999999,0.0,de,5
Nordsachsen,Nordsachsen,LOC,0.0,0.0,de,5
Landkreis Goslar,Landkreis Goslar,LOC,0.0,0.0,de,5
Thale,Thale,LOC,-0.13999999999999999,0.0,de,5
Hirschwang,Hirschwang,LOC,0.0,0.0,de,5
Salzburg,Salzburg,LOC,0.27999999999999997,0.0,de,5
Reinsdorf,Reinsdorf,LOC,0.0,0.0,de,5
Südeuropas,Südeuropas,LOC,0.1,0.5,de,5
Brocken-Waldbrand,Brocken-Waldbrand,LOC,-0.06999999999999999,0.3,de,5
Oberursel,Oberursel,LOC,0.18,0.1,de,5
Gösselsdorf,Gösselsdorf,LOC,-0.27999999999999997,0.0,de,5
Gröditz,Gröditz,LOC,0.0,0.08333333333333333,de,4
San Francisco,San Francisco,LOC,-0.35,0.0,de,4
Waldbrand bei,Waldbrand bei,LOC,-0.75,0.0,de,4
Arnsberger Wald,Arnsberger Wald,LOC,0.0,0.0,de,4
Hamburgs,Hamburgs,LOC,-0.175,0.0,de,4
Provinzen,Provinzen,LOC,0.25,0.0,de,4
Schönower Heide,Schönower Heide,LOC,0.0,0.0,de,4
Balkan,Balkan,LOC,0.25,0.0,de,4
Rauchschwaden,Rauchschwaden,LOC,-0.5249999999999999,0.0,de,4
Palaia Fokaia,Palaia Fokaia,LOC,-0.037500000000000006,0.0,de,4
St. Ingbert,St. Ingbert,LOC,0.5249999999999999,0.0,de,4
Österreichs,Österreichs,LOC,0.175,0.0,de,4
Hanau-Großauheim,Hanau-Großauheim,LOC,0.037500000000000006,0.0,de,4
Hanau,Hanau,LOC,0.175,0.0,de,4
Waldbrand am Möhnesee,Waldbrand am Möhnesee,LOC,0.0,0.0,de,4
Egelsbach,Egelsbach,LOC,-0.2916666666666667,0.0,de,4
Herleshausen,Herleshausen,LOC,-0.2916666666666667,0.0,de,4
Hochsauerlandkreis,Hochsauerlandkreis,LOC,0.0,0.0,de,4
Kassel,Kassel,LOC,-0.07500000000000001,0.0,de,4
Schaden,Schaden,LOC,-1.0,0.0,de,4
Martigues,Martigues,LOC,0.35,0.25,de,4
Eskisehir,Eskisehir,LOC,0.0,0.0,de,4
Bayerns,Bayerns,LOC,0.5249999999999999,0.0,de,4
Gera,Gera,LOC,-0.175,0.0,de,4
Nemea,Nemea,LOC,0.0,0.0,de,4
Überwachungszentralen,Überwachungszentralen,LOC,0.0,0.0,de,4
Mittelmeerküste,Mittelmeerküste,LOC,-0.35,0.0,de,4
Waldbrandschutz,Waldbrandschutz,LOC,-0.35,0.0,de,4
Provinz,Provinz,LOC,-0.07500000000000001,0.0,de,4
Bergen,Bergen,LOC,-0.1,0.0625,de,4
Brandenburg e…,Brandenburg e…,LOC,0.0,1.0,de,4
Treuenbrietzen,Treuenbrietzen,LOC,0.0,0.0,de,4
Kreis Elbe-Elster,Kreis Elbe-Elster,LOC,0.0,0.0,de,4
Spree-Neiße,Spree-Neiße,LOC,0.0,0.0,de,4
McKinley Grove,McKinley Grove,LOC,-0.175,0.0,de,4
Hollywood Hills,Hollywood Hills,LOC,0.425,0.25,de,4
Zentralkalifornien,Zentralkalifornien,LOC,0.0,0.0,de,4
Sonnewalde,Sonnewalde,LOC,-0.17499999999999996,0.0,de,4
Hauptstadt,Hauptstadt,LOC,-0.175,0.0,de,4
iberischen Halbinsel,iberischen Halbinsel,LOC,0.375,0.125,de,4
Provinz León,Provinz León,LOC,0.0,0.0,de,4
Paris,Paris,LOC,0.0,0.0,de,4
S…,S…,LOC,0.0,0.0,de,4
Bezirk Landeck,Bezirk Landeck,LOC,0.175,0.0,de,4
Albanien,Albanien,LOC,0.175,0.0,de,4
Feuer im Grunewald,Feuer im Grunewald,LOC,0.0,0.0,de,4
Feuer im Harz,Feuer im Harz,LOC,-0.0875,0.0,de,4
Waldbrandbeauftragter,Waldbrandbeauftragter,LOC,0.0,0.0,de,4
Kroatiens,Kroatiens,LOC,-0.20416666666666666,0.20833333333333331,de,4
Ostsee,Ostsee,LOC,0.175,0.0,de,4
Thale im Harz,Thale im Harz,LOC,0.0,0.0,de,4
Wendelstein,Wendelstein,LOC,0.5375,0.0,de,4
kroatischen Adriaküste,kroatischen Adriaküste,LOC,-0.5249999999999999,0.0,de,4
Rotenburg,Rotenburg,LOC,0.175,0.0,de,4
Sprockhövel,Sprockhövel,LOC,-0.175,0.0,de,4
L.,L.,LOC,0.0,0.0,de,4
Privatwaldbesitzer,Privatwaldbesitzer,LOC,-0.175,0.0,de,4
tschechisch-sächsischen Grenze,tschechisch-sächsischen Grenze,LOC,-0.7125,0.0,de,4
Ierapetra,Ierapetra,LOC,0.5249999999999999,0.0,de,4
Silobad,Silobad,LOC,0.0,0.0,de,4
Brandgeschehen,Brandgeschehen,LOC,-0.3499999999999999,0.0,de,4
Erfurt,Erfurt,LOC,-0.5666666666666667,0.3333333333333333,de,3
Umw,Umw,LOC,0.0,0.0,de,3
Adria,Adria,LOC,0.0,0.0,de,3
Makarska,Makarska,LOC,-0.4666666666666666,0.0,de,3
Gutenstein,Gutenstein,LOC,0.0,0.0,de,3
Sonneberg,Sonneberg,LOC,0.0,0.6666666666666666,de,3
Dreckige Luft,Dreckige Luft,LOC,0.0,0.0,de,3
Großbrand in der Gohrischheide,Großbrand in der Gohrischheide,LOC,-0.1333333333333333,0.0,de,3
Tarragona,Tarragona,LOC,0.0,0.0,de,3
…,…,LOC,0.0,0.0,de,3
Marseille Flughafen,Marseille Flughafen,LOC,0.0,0.0,de,3
Präfektur,Präfektur,LOC,0.0,0.0,de,3
Jacob…,Jacob…,LOC,0.0,0.0,de,3
Quedlinburg,Quedlinburg,LOC,0.0,0.0,de,3
Umweltministerium,Umweltministerium,LOC,-0.2833333333333333,0.0,de,3
Pressath,Pressath,LOC,0.2333333333333333,0.0,de,3
Tausende,Tausende,LOC,0.0,0.0,de,3
Rauchgas-Warnungen,Rauchgas-Warnungen,LOC,-0.2333333333333333,0.0,de,3
Nordportu,Nordportu,LOC,0.0,0.0,de,3
Sächsischen Schweiz,Sächsischen Schweiz,LOC,-0.3833333333333333,0.0,de,3
Iraker,Iraker,LOC,-0.5666666666666667,0.0,de,3
Hunderte,Hunderte,LOC,0.0,0.0,de,3
Syrien,Syrien,LOC,0.0,0.3333333333333333,de,3
Rom,Rom,LOC,0.1111111111111111,0.0,de,3
EU-Staaten,EU-Staaten,LOC,0.0,0.0,de,3
Urlaubsregion,Urlaubsregion,LOC,0.10000000000000002,0.0,de,3
Antalya,Antalya,LOC,-0.3333333333333333,0.0,de,3
Athener,Athener,LOC,0.0,0.0,de,3
Ankara,Ankara,LOC,0.0,0.0,de,3
Oberösterreich,Oberösterreich,LOC,0.0,0.0,de,3
Eu,Eu,LOC,-0.4666666666666666,0.0,de,3
Luxe,Luxe,LOC,-0.6999999999999998,0.0,de,3
Großauheim,Großauheim,LOC,0.0,0.0,de,3
Erlenbach,Erlenbach,LOC,0.2333333333333333,0.0,de,3
Schierke,Schierke,LOC,0.0,0.0,de,3
Viersen,Viersen,LOC,-0.03333333333333334,0.1111111111111111,de,3
Lindlar,Lindlar,LOC,-0.4666666666666666,0.0,de,3
Wäldern,Wäldern,LOC,0.2333333333333333,0.0,de,3
Affalterbach,Affalterbach,LOC,0.0,0.0,de,3
Nordspanien,Nordspanien,LOC,0.3333333333333333,0.0,de,3
Magdeburger,Magdeburger,LOC,0.4666666666666666,0.0,de,3
Grand-Canyon-Nationalparks,Grand-Canyon-Nationalparks,LOC,-0.38333333333333336,0.0,de,3
Cala d’Hort,Cala d’Hort,LOC,0.0,0.0,de,3
Schwelbrände,Schwelbrände,LOC,0.2333333333333333,0.0,de,3
Aschaffenburg,Aschaffenburg,LOC,0.0,0.0,de,3
Südhessen,Südhessen,LOC,-0.19999999999999998,0.1111111111111111,de,3
Gemeinde,Gemeinde,LOC,0.2333333333333333,0.0,de,3
